Modell;ESX;CPU;CORE pro CPU;CORE pro Server;Cluster;OS;VMWARE;GeneratedUniqueID
Synergy 480 Gen10;rz1-esx-24.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-24"]
ProLiant DL360 Gen10;rz1-esx-16.bev.int;2;10;20;standalone;WIN;;["rz1-esx-16"]
Synergy 480 Gen10;rz1-esx-21.bev.int;2;10;20;cl_apos;WIN;JA;["rz1-esx-21"]
Synergy 480 Gen10;rz1-esx-22.bev.int;2;10;20;cl_apos;WIN;JA;["rz1-esx-22"]
Synergy 480 Gen10;rz1-esx-25.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-25"]
Synergy 480 Gen10;rz1-esx-26.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-26"]
Synergy 480 Gen10;rz1-esx-27.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-27"]
Synergy 480 Gen10;rz1-esx-28.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-28"]
Synergy 480 Gen10;rz1-esx-29.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-29"]
Synergy 480 Gen10;rz1-esx-30.bev.int;2;10;20;cl-ctx;WIN;JA;["rz1-esx-30"]
Synergy 480 Gen10;rz1-esx-31.bev.int;2;10;20;cl_pu;WIN;JA;["rz1-esx-31"]
Synergy 480 Gen10;rz1-esx-32.bev.int;2;10;20;cl_pu;WIN;JA;["rz1-esx-32"]
Synergy 480 Gen10;rz1-esx-33.bev.int;2;10;20;cl_pu;WIN;JA;["rz1-esx-33"]
Synergy 480 Gen10;rz1-esx-34.bev.int;2;10;20;cl_pu;WIN;JA;["rz1-esx-34"]
Synergy 480 Gen10;rz1-esx-35.bev.int;2;10;20;cl_pu_mat;WIN;JA;["rz1-esx-35"]
Synergy 480 Gen10;rz1-esx-36.bev.int;2;10;20;cl_dmz;WIN;JA;["rz1-esx-36"]
Synergy 480 Gen10;rz1-esx-37.bev.int;2;10;20;cl_dmz;WIN;JA;["rz1-esx-37"]
Synergy 480 Gen10;rz1-esx-38.bev.int;2;10;20;cl_apos;WIN;JA;["rz1-esx-38"]
Synergy 480 Gen10;rz1-esx-39.bev.int;2;10;20;cl_web;WIN;JA;["rz1-esx-39"]
Synergy 480 Gen10;rz1-esx-40.bev.int;2;10;20;cl_apos;WIN;JA;["rz1-esx-40"]
Synergy 480 Gen10;rz1-esx-41.bev.int;2;10;20;cl_beu;WIN;JA;["rz1-esx-41"]
Synergy 480 Gen10;rz1-esx-46.bev.int;2;10;20;cl_db;WIN;JA;["rz1-esx-46"]
Synergy 480 Gen10;rz1-esx-47.bev.int;2;10;20;cl_db;WIN;JA;["rz1-esx-47"]
Synergy 480 Gen10;rz1-esx-48.bev.int;2;10;20;ega-web;LINUX;JA;["rz1-esx-48"]
Synergy 480 Gen10;rz1-esx-50.bev.int;2;10;20;cl_pu;WIN;;["rz1-esx-50"]
Synergy 480 Gen10;rz1-esx-51.bev.int;2;10;20;cl_beu;WIN;;["rz1-esx-51"]
Synergy 480 Gen10;rz1-esx-52.bev.int;2;10;20;cl_pu;WIN;;["rz1-esx-52"]
Synergy 480 Gen10;rz1-esx-56.bev.int;2;10;20;cl_dmz-tu;LINUX;;["rz1-esx-56"]
Synergy 480 Gen10;rz1-esx-57.bev.int;2;10;20;cl_dmz;WIN;;["rz1-esx-57"]
Synergy 480 Gen10;rz1-esx-59.bev.int;2;10;20;cl_web;WIN;;["rz1-esx-59"]
Synergy 480 Gen10;rz2-esx-21.bev.int;2;10;20;cl_apos;WIN;;["rz2-esx-21"]
Synergy 480 Gen10;rz2-esx-22.bev.int;2;10;20;cl_apos;WIN;;["rz2-esx-22"]
Synergy 480 Gen10;rz2-esx-24.bev.int;2;10;20;cl-ctx;WIN;;["rz2-esx-24"]
Synergy 480 Gen10;rz2-esx-25.bev.int;2;10;20;cl-ctx;WIN;;["rz2-esx-25"]
Synergy 480 Gen10;rz2-esx-26.bev.int;2;10;20;cl-ctx;WIN;;["rz2-esx-26"]
Synergy 480 Gen10;rz2-esx-27.bev.int;2;10;20;cl-ctx;WIN;;["rz2-esx-27"]
Synergy 480 Gen10;rz2-esx-28.bev.int;2;10;20;cl-ctx;WIN;;["rz2-esx-28"]
Synergy 480 Gen10;rz2-esx-29.bev.int;2;10;20;cl-ctx;WIN;;["rz2-esx-29"]
Synergy 480 Gen10;rz2-esx-30.bev.int;2;10;20;testcluster;LINUX;;["rz2-esx-30"]
Synergy 480 Gen10;rz2-esx-31.bev.int;2;10;20;cl_pu;WIN;;["rz2-esx-31"]
Synergy 480 Gen10;rz2-esx-32.bev.int;2;10;20;cl_pu;WIN;;["rz2-esx-32"]
Synergy 480 Gen10;rz2-esx-33.bev.int;2;10;20;cl_pu;WIN;;["rz2-esx-33"]
Synergy 480 Gen10;rz2-esx-34.bev.int;2;10;20;cl_pu;WIN;;["rz2-esx-34"]
Synergy 480 Gen10;rz2-esx-35.bev.int;2;10;20;cl_pu_mat;WIN;;["rz2-esx-35"]
Synergy 480 Gen10;rz2-esx-36.bev.int;2;10;20;cl_dmz;WIN;;["rz2-esx-36"]
Synergy 480 Gen10;rz2-esx-37.bev.int;2;10;20;cl_dmz;WIN;;["rz2-esx-37"]
Synergy 480 Gen10;rz2-esx-38.bev.int;2;10;20;cl_apos;WIN;;["rz2-esx-38"]
Synergy 480 Gen10;rz2-esx-39.bev.int;2;10;20;cl_web;WIN;;["rz2-esx-39"]
Synergy 480 Gen10;rz2-esx-40.bev.int;2;10;20;cl_apos;WIN;;["rz2-esx-40"]
Synergy 480 Gen10;rz2-esx-41.bev.int;2;10;20;cl_beu;WIN;;["rz2-esx-41"]
Synergy 480 Gen10;rz2-esx-46.bev.int;2;10;20;cl_db;WIN;;["rz2-esx-46"]
Synergy 480 Gen10;rz2-esx-47.bev.int;2;10;20;cl_db;WIN;;["rz2-esx-47"]
Synergy 480 Gen10;rz2-esx-48.bev.int;2;10;20;ega-web;LINUX;;["rz2-esx-48"]
Synergy 480 Gen10;rz2-esx-50.bev.int;2;10;20;cl_pu;WIN;;["rz2-esx-50"]
Synergy 480 Gen10;rz2-esx-51.bev.int;2;10;20;cl_beu;WIN;;["rz2-esx-51"]
Synergy 480 Gen10;rz2-esx-56.bev.int;2;10;20;cl_dmz-tu;LINUX;;["rz2-esx-56"]
Synergy 480 Gen10;rz2-esx-57.bev.int;2;10;20;cl_dmz;WIN;;["rz2-esx-57"]
Synergy 480 Gen10;rz2-esx-59.bev.int;2;10;20;cl_web;WIN;;["rz2-esx-59"]
ProLiant DL360 Gen10;10.5.253.45;2;10;20;10.5.253.45;LINUX;;["10"]
ProLiant DL360 Gen10;10.5.253.46;2;10;20;10.5.253.46;LINUX;;["10"]
ProLiant DL365 Gen11;rz2-esx-91.bev.int;2;16;32;rz2-esx-91.bev.int;LINUX;;["rz2-esx-91"]
ProLiant DL365 Gen11;;2;16;32;;;;[]
ProLiant DL365 Gen11;;2;16;32;;;;[]
ProLiant DL365 Gen11;;2;16;32;;;;[]
ProLiant DL365 Gen11;;2;16;32;;;;[]
ProLiant DL365 Gen11;;2;16;32;;;;[]
ProLiant DL365 Gen11;;2;16;32;;;;[]
Xeon G6242 Nvidia;;2;16;32;;;;[]
Xeon G6242 Nvidia;;2;16;32;;;;[]
ProLiant DL360 Gen10;;2;10;20;;;;[]
ProLiant DL360 Gen10;;2;10;20;;;;[]
ProLiant DL360 Gen10;;2;10;20;;;;[]
ProLiant DL360 Gen10;;2;10;20;;;;[]
ProLiant DL360 Gen10;;2;10;20;;;;[]
ProLiant DL360 Gen10;;2;10;20;;;;[]
Xeon Gold 6128;;2;6;12;;;;[]
Xeon Gold 6128;;2;6;12;;;;[]
Xeon Gold 6128;;2;6;12;;;;[]
Xeon Gold 6128;;2;6;12;;;;[]
Snapshot Xeon Silver 4210;;1;10;10;;;;[]
Snapshot Xeon Silver 4210;;1;10;10;;;;[]